Date,Adj Close
2020-01-02,72.96045684814453
2020-01-03,72.25115203857422
2020-01-06,72.82685852050781
2020-01-07,72.48433685302734
2020-01-08,73.65035247802734
2020-01-09,75.2147445678711
2020-01-10,75.38479614257812
2020-01-13,76.99533081054688
2020-01-14,75.95564270019531
2020-01-15,75.63013458251953
2020-01-16,76.57750701904297
2020-01-17,77.42530822753906
2020-01-21,76.90058898925781
2020-01-22,77.17508697509766
2020-01-23,77.54676818847656
2020-01-24,77.32328796386719
2020-01-27,75.049560546875
2020-01-28,77.17266082763672
2020-01-29,78.7880630493164
2020-01-30,78.67388153076172
2020-01-31,75.18560028076172
2020-02-03,74.97913360595703
2020-02-04,77.45445251464844
2020-02-05,78.0860366821289
2020-02-06,78.9993896484375
2020-02-07,77.92557525634766
2020-02-10,78.29571533203125
2020-02-11,77.82331848144531
2020-02-12,79.67145538330078
2020-02-13,79.1041030883789
2020-02-14,79.12359619140625
2020-02-18,77.6748046875
2020-02-19,78.79974365234375
2020-02-20,77.99132537841797
2020-02-21,76.22599029541016
2020-02-24,72.60523986816406
2020-02-25,70.14594268798828
2020-02-26,71.25872039794922
2020-02-27,66.60067749023438
2020-02-28,66.56171417236328
2020-03-02,72.75863647460938
2020-03-03,70.44786834716797
2020-03-04,73.71556091308594
2020-03-05,71.32445526123047
2020-03-06,70.37725830078125
2020-03-09,64.81098175048828
2020-03-10,69.47876739501953
2020-03-11,67.06573486328125
2020-03-12,60.44268035888672
2020-03-13,67.6842041015625
2020-03-16,58.97684097290039
2020-03-17,61.57006072998047
2020-03-18,60.062828063964844
2020-03-19,59.60261535644531
2020-03-20,55.81871795654297
2020-03-23,54.63289260864258
2020-03-24,60.11396408081055
2020-03-25,59.78280258178711
2020-03-26,62.928768157958984
2020-03-27,60.323368072509766
2020-03-30,62.044864654541016
2020-03-31,61.91825866699219
2020-04-01,58.660301208496094
2020-04-02,59.63914489746094
2020-04-03,58.78204345703125
2020-04-06,63.91002655029297
2020-04-07,63.16981506347656
2020-04-08,64.78662109375
2020-04-09,65.25411987304688
2020-04-13,66.534912109375
2020-04-14,69.89513397216797
2020-04-15,69.25718688964844
2020-04-16,69.80748748779297
2020-04-17,68.86029052734375
2020-04-20,67.43095397949219
2020-04-21,65.34666442871094
2020-04-22,67.2288589477539
2020-04-23,66.96833038330078
2020-04-24,68.90167236328125
2020-04-27,68.95038604736328
